Entity,Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,20.84374092,25.91940944,31.43544348,28.77029108,28.64670951,27.34432838,27.84872642,26.80340981,25.07469111,26.07248748,25.99968942,25.71581266,25.92229029,25.87994559,25.83986169,25.88028694,25.86663342,25.86219029,25.86965172,25.86597546,25.86612221,32.2287391,40.73732481,48.60403394,58.85687033,66.8078957,75.1174238,82.55028288,90.62906583,100.7043855,107.7147959,109.3562322,93.34266139,121.5469978,114.1956121,101.6548403,95.81421348,75.67410675,66.51840665,58.44939466,52.99426591,45.22479,47.34831524,48.32227421,46.67105845,49.41158229,49.659088,55.57892348,58.06642926,58.73127945
Albania,ALB,44.71695491,44.71706072,44.73244287,44.70136114,44.71737816,44.77858931,44.60811595,44.76542922,44.96222275,44.09669588,45.23736905,45.5526033,41.50011528,37.82463953,35.56689931,34.09976453,30.29379804,31.04672621,34.84856504,37.48356327,37.37364339,34.81638627,100.0026865,77.71506891,50.30201214,46.98742199,48.72135359,49.97328539,52.63266029,55.51258543,63.45407457,66.49104625,68.52503678,67.02060808,67.04722821,70.87232787,74.26708114,83.20210074,77.45175647,75.09488456,76.54341662,81.218564,76.51020146,75.87373392,75.40786558,71.80103082,74.80985635,78.19424953,76.85584412,76.72829993
Algeria,DZA,101.2016875,109.356279,39.85161181,58.4293165,51.70537394,46.08562623,48.24421955,43.59428705,45.74722793,50.45834339,49.72271771,44.67262039,44.52497331,55.33225355,73.92287586,76.73103465,70.05660191,72.29528339,65.6795511,64.10798356,64.85125787,65.57601876,60.1094939,53.8745129,49.10070838,44.03019412,30.27120462,27.47633412,37.31453359,47.32464719,48.59432097,51.71868683,47.6423407,43.94090349,51.71417279,57.46829265,53.75027679,51.61164978,46.33928179,51.04358382,62.91453035,58.35187923,61.06168544,62.12477185,65.70142505,71.27859813,70.7300141,71.93812597,76.68452164,71.3243284
Andorra,AND,25.82151082,25.8943219,27.18071818,28.10708793,31.69547336,29.08596068,30.0774997,29.16358365,27.72521428,27.83599743,31.5606096,35.38019187,36.52842877,39.76852471,41.54142997,40.86662635,35.34734204,36.31995977,36.71348213,37.38418362,35.61073344,35.47854128,35.97784218,36.94989409,41.64447875,44.77537412,46.24521922,51.16625714,52.66145437,54.63646698,60.08233371,57.99715553,55.09917924,53.46368908,54.52418271,54.76229757,56.17713483,57.74760375,55.98333003,46.99487435,52.92824057,58.79317102,60.84536985,61.99629927,63.86560973,64.21264116,63.77262441,66.69257323,67.57285297,66.77616464
Angola,AGO,68.80733945,68.14159292,68.46846847,69.10569106,69.23076923,66.98113208,69.23076923,69.23076923,68.96551724,68.94409938,62.14953271,75.0,70.5,67.94258373,68.77828054,61.53846154,48.828125,58.98305085,58.49056604,56.75675676,62.59168704,50.0,142.3068692,109.294666,161.2059821,154.410005,152.11,137.65,128.64,178.69,120.33,150.34,105.3017426,103.9012296,103.5802538,106.5911524,94.62515933,108.0600679,121.3647085,122.4461423,104.1236289,99.98250785,91.80009861,86.81193078,79.33292751,62.88852078,53.37015528,52.25682145,66.37801193,71.94037913
Anguilla,AIA,96.14932794,96.15191672,96.1746813,96.3082361,96.07560084,96.03619636,96.16487125,96.2884777,96.97603864,94.91243026,95.83915201,96.8082566,96.90650807,100.4138336,84.59440796,100.4727476,101.6537941,97.3977594,117.9504572,125.2659473,111.8990939,113.4674968,120.1039284,124.4250671,123.5325457,126.871606,127.2998526,122.9644573,132.837188,129.5812619,128.803225,117.2084957,107.9842902,110.1720242,109.7270897,124.0674319,149.7715652,130.7835201,130.1877399,124.9440775,117.3426349,110.5835768,114.8434638,119.0194417,142.3702121,146.3661558,150.4673489,201.2954839,190.1480673,166.1294537
Antigua and Barbuda,ATG,123.8966583,125.6289653,121.0521681,119.4686472,124.4456904,128.8878265,134.2904886,98.1681926,111.5510362,149.3309078,151.0985069,161.3038,127.9283204,122.4465575,156.0595919,165.8489824,171.930272,157.2272812,137.8010257,143.5399873,149.2717057,151.0737269,158.993665,156.5222807,145.6297991,145.6019915,137.2649862,135.4029831,131.3196487,130.7954244,116.8151667,116.4183593,110.7966509,116.4634753,122.4611097,120.0427227,118.0468952,115.3036437,115.1457481,103.2377604,104.7064475,103.6466099,103.7760891,107.1867231,106.6906125,94.9491185,93.38955569,91.92278758,92.52199972,92.05621287
Argentina,ARG,12.17386581,11.35589717,12.82204026,11.78046389,11.84141275,10.69761972,13.64700117,15.36415243,12.99630258,11.610129,10.59841384,13.12345679,14.34483341,13.77648189,11.34965997,16.5586783,13.31311249,14.19419346,14.47183229,18.05707144,13.78643143,12.63873552,13.53025885,14.95028401,16.69776094,18.23340563,19.83242469,21.51164615,21.52277423,19.71254039,20.77566514,20.057227,37.42422095,36.18757938,40.69264612,40.56689188,40.43347986,40.94517062,40.40267337,34.0571269,34.97101326,35.206155,30.52654237,29.333929,28.40679365,22.48622609,26.09388785,25.22333196,30.70044602,32.39366596
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,81.35374217,100.6134201,100.2478097,95.50959308,115.816882,87.83609636,80.98582621,79.89894209,73.14326617,72.13316396,75.79564767,73.83333238,78.62453878,85.14308296,77.78899806,74.71776637,64.70074154,59.9218389,56.75557548,59.5385957,67.81469897,73.09554862,75.96674339,76.55619579,75.61168484,71.59326535,75.91788003,86.83014139,91.1145293,91.43228557
Aruba,ABW,178.9289226,178.9288821,178.9289346,178.9289513,178.9287599,178.929093,178.929001,178.9281855,178.9300932,178.9287249,178.9257382,178.9358165,178.9246195,178.9167787,178.966051,178.8910287,178.8932562,179.1138685,178.6659617,178.8999386,179.7757051,177.3222412,179.6018697,182.4030041,169.9618499,186.440755,190.8064076,183.6082306,177.5962501,179.0141709,158.0445731,151.3996143,146.0854805,145.5686936,145.3760384,159.144757,155.7590961,154.7221727,157.903116,151.5212995,149.8183184,163.9263947,159.6319848,163.4626718,162.5582344,147.6600248,142.1247339,144.9657351,144.9168313,144.0024334
