Year,Trade openness (share of exports and imports in GDP)
1970,20.8437409248433
1971,25.919409437496
1972,31.435443482762
1973,28.7702910830009
1974,28.6467095106607
1975,27.34432837878
1976,27.8487264150243
1977,26.8034098141856
1978,25.0746911104655
1979,26.0724874832006
1980,25.9996894179658
1981,25.7158126609843
1982,25.9222902904862
1983,25.8799455856637
1984,25.8398616933577
1985,25.8802869440337
1986,25.8666334213438
1987,25.8621902908406
1988,25.8696517213166
1989,25.8659754584773
1990,25.8661222094252
1991,32.2287390978041
1992,40.7373248115711
1993,48.6040339357945
1994,58.8568703338582
1995,66.8078956960532
1996,75.1174238015598
1997,82.5502828795321
1998,90.6290658281453
1999,100.704385503008
2000,107.714795925552
2001,109.356232160363
2002,93.3426613917142
2003,121.546997776117
2004,114.195612092345
2005,101.654840338149
2006,95.8142134838249
2007,75.674106752897
2008,66.518406645277
2009,58.4493946576094
2010,52.9942659057012
2011,45.2247900010618
2012,47.3483152439035
2013,48.3222742149563
2014,46.6710584467878
2015,49.4115822883989
2016,49.6590879987993
2017,55.5789234786399
2018,58.066429259857
2019,58.7312794477786
1970,44.7169549107581
1971,44.7170607248103
1972,44.7324428690127
1973,44.7013611445707
1974,44.7173781608881
1975,44.7785893072325
1976,44.6081159472024
1977,44.7654292231269
1978,44.9622227525395
1979,44.0966958774737
1980,45.2373690541467
1981,45.5526032998155
1982,41.500115280804
1983,37.8246395338477
1984,35.5668993089045
1985,34.0997645275173
1986,30.293798040283
1987,31.0467262130189
1988,34.8485650351838
1989,37.4835632677053
1990,37.3736433922581
1991,34.8163862743353
1992,100.002686540104
1993,77.7150689062328
1994,50.3020121387126
1995,46.9874219921471
1996,48.7213535880307
1997,49.9732853906974
1998,52.6326602914852
1999,55.5125854292346
2000,63.4540745747044
2001,66.4910462489718
2002,68.5250367796607
2003,67.0206080754285
2004,67.0472282137639
2005,70.872327869689
2006,74.2670811383809
2007,83.2021007369943
2008,77.4517564673231
2009,75.0948845582779
2010,76.5434166153418
2011,81.2185639958342
2012,76.5102014623095
2013,75.8737339217374
2014,75.4078655802359
2015,71.8010308174741
2016,74.8098563482407
2017,78.1942495290397
2018,76.8558441185939
2019,76.7282999344137
1960,101.201687541848
1961,109.356279018034
1962,39.8516118088875
1963,58.4293164963887
1964,51.7053739444591
1965,46.0856262250061
1966,48.2442195509933
1967,43.5942870535467
1968,45.747227928231
1969,50.4583433874157
1970,49.7227177114547
1971,44.6726203891716
1972,44.5249733144524
1973,55.3322535537497
1974,73.9228758585207
1975,76.731034647551
1976,70.056601906536
1977,72.2952833851389
1978,65.6795510987037
1979,64.1079835626523
1980,64.851257866758
1981,65.57601876211
1982,60.1094939011068
1983,53.8745129017286
1984,49.1007083804052
1985,44.0301941192348
1986,30.2712046171913
1987,27.4763341228468
1988,37.3145335860876
1989,47.3246471867452
1990,48.5943209729912
1991,51.7186868331955
1992,47.6423406974417
1993,43.9409034896054
1994,51.7141727873816
1995,57.4682926509336
1996,53.7502767940336
1997,51.6116497793604
1998,46.339281790326
1999,51.0435838231506
2000,62.9145303450429
2001,58.3518792257945
2002,61.06168543911
2003,62.1247718461082
2004,65.701425051829
2005,71.2785981319744
2006,70.730014099169
2007,71.938125967188
2008,76.6845216371483
2009,71.3243284003302
2010,69.8666618454996
2011,67.4722759728754
2012,65.4049787946316
2013,63.6108236711147
2014,62.145776819134
2015,59.6951664603023
2016,55.9256681964864
2017,55.3215159830898
2018,57.8986226487975
2019,52.0263555949345
1970,25.8215108186771
1971,25.8943219034429
1972,27.1807181795148
1973,28.1070879307392
1974,31.69547336135
1975,29.0859606826923
1976,30.0774997006384
1977,29.1635836533946
1978,27.7252142765083
1979,27.8359974279469
1980,31.5606096043602
1981,35.3801918691914
1982,36.5284287660372
1983,39.7685247077614
1984,41.5414299748816
1985,40.8666263528157
1986,35.3473420439887
1987,36.3199597731655
1988,36.7134821329773
1989,37.3841836177437
1990,35.6107334351995
1991,35.4785412783865
1992,35.9778421835214
1993,36.9498940888878
1994,41.6444787471073
1995,44.7753741165388
1996,46.2452192211488
1997,51.1662571369581
1998,52.6614543666166
1999,54.6364669757002
2000,60.0823337055566
2001,57.997155529894
2002,55.0991792364837
2003,53.4636890781616
2004,54.5241827139709
2005,54.7622975686523
2006,56.177134825144
2007,57.7476037528532
2008,55.9833300329492
2009,46.994874349599
2010,52.9282405684091
2011,58.7931710169096
2012,60.845369854892
2013,61.9962992746273
2014,63.8656097266086
2015,64.2126411558608
2016,63.7726244066475
2017,66.6925732279641
2018,67.5728529667424
2019,66.776164638118
1970,68.8073394496044
1971,68.141592920354
1972,68.4684684684685
1973,69.1056910569668
1974,69.2307692307692
1975,66.9811320754717
1976,69.2307692307692
1977,69.2307692307692
1978,68.9655172413793
1979,68.9440993789248
1980,62.1495327102804
1981,75.0000000000375
1982,70.5000000000353
1983,67.9425837320899
1984,68.7782805430176
1985,61.5384615384841
1986,48.828125
1987,58.9830508474776
1988,58.4905660377359
1989,56.7567567567568
1990,62.5916870415801
1991,50
1992,142.306869248874
1993,109.294666033996
1994,161.205982148594
1995,154.410005006116
1996,152.110000000949
1997,137.650000022371
1998,128.639999997353
1999,178.689999999064
2000,120.330000000105
2001,150.339999999707
2002,105.301742600149
2003,103.901229551372
2004,103.58025381562
2005,106.591152419818
2006,94.6251593320477
